id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401628363,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,True,,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,14.0,"[0, 0, 7, 7]",0.4738599991671969,1569,1537.0,8,Arkansas,SEC,fbs,24.0,"[0, 7, 7, 10]",0.5261400008328031,1451.0,1483.0,7.609649793,,
401628365,2024,4,regular,2024-09-21T19:30:00.000Z,False,True,False,False,,3958,Tiger Stadium (LA),99,LSU,SEC,fbs,34.0,"[7, 10, 7, 10]",0.985005897829529,1798,1805.0,26,UCLA,Big Ten,fbs,17.0,"[10, 7, 0, 0]",0.014994102170471035,1456.0,1449.0,5.785520424,,
401628368,2024,4,regular,2024-09-21T20:15:00.000Z,False,True,False,True,,3838,Memorial Stadium,142,Missouri,SEC,fbs,30.0,"[7, 3, 10, 0, 10]",0.27254257561101886,1795,1790.0,238,Vanderbilt,SEC,fbs,27.0,"[7, 6, 7, 0, 7]",0.7274574243889811,1312.0,1317.0,9.619524509,,
401628372,2024,4,regular,2024-09-21T23:30:00.000Z,False,True,False,False,,3795,Kyle Field,245,Texas A&M,SEC,fbs,26.0,"[7, 6, 7, 6]",0.9745075158794131,1689,1685.0,189,Bowling Green,Mid-American,fbs,20.0,"[0, 3, 14, 3]",0.02549248412058691,1444.0,1448.0,6.5177861153,,
401628370,2024,4,regular,2024-09-21T23:30:00.000Z,False,True,False,False,,3994,Williams-Brice Stadium,2579,South Carolina,SEC,fbs,50.0,"[15, 7, 7, 21]",0.998921525235758,1642,1699.0,2006,Akron,Mid-American,fbs,7.0,"[0, 7, 0, 0]",0.0010784747642420545,1110.0,1053.0,4.4608683407,,
401628369,2024,4,regular,2024-09-21T23:30:00.000Z,False,True,False,True,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,fbs,15.0,"[3, 0, 0, 12]",0.09017369358378567,1848,1837.0,2633,Tennessee,SEC,fbs,25.0,"[10, 9, 3, 3]",0.9098263064162143,1964.0,1975.0,4.1458506038,,
401628366,2024,4,regular,2024-09-21T23:45:00.000Z,False,True,False,False,,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,fbs,52.0,"[17, 7, 14, 14]",0.9988444751899406,1824,1879.0,290,Georgia Southern,Sun Belt,fbs,13.0,"[0, 7, 3, 3]",0.0011555248100594273,1379.0,1324.0,3.7532950843,,
401628371,2024,4,regular,2024-09-22T00:00:00.000Z,False,True,False,False,,3910,DKR-Texas Memorial Stadium,251,Texas,SEC,fbs,51.0,"[21, 7, 9, 14]",0.9988528992940259,2068,2107.0,2433,UL Monroe,Sun Belt,fbs,3.0,"[0, 3, 0, 0]",0.0011471007059741245,1249.0,1210.0,2.860845681,,
401628377,2024,5,regular,2024-09-28T16:00:00.000Z,False,True,False,True,,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,fbs,17.0,"[7, 0, 10, 0]",0.5076055341165858,1879,1861.0,96,Kentucky,SEC,fbs,20.0,"[3, 7, 3, 7]",0.4923944658834142,1668.0,1686.0,8.5683895645,,
401628373,2024,5,regular,2024-09-28T19:30:00.000Z,False,True,True,True,,3687,AT&T Stadium,245,Texas A&M,SEC,fbs,21.0,"[7, 7, 0, 7]",0.36803582088856224,1685,1683.0,8,Arkansas,SEC,fbs,17.0,"[14, 0, 0, 3]",0.6319641791114378,1483.0,1485.0,9.688058168,,
401628375,2024,5,regular,2024-09-28T19:30:00.000Z,False,True,False,True,,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,21.0,"[0, 14, 0, 7]",0.42386205342807326,1537,1547.0,201,Oklahoma,SEC,fbs,27.0,"[7, 0, 3, 17]",0.5761379465719267,1837.0,1827.0,5.7449637367,,
401628378,2024,5,regular,2024-09-28T20:15:00.000Z,False,True,False,True,,3910,DKR-Texas Memorial Stadium,251,Texas,SEC,fbs,35.0,"[7, 7, 7, 14]",0.9985122659942977,2107,2091.0,344,Mississippi State,SEC,fbs,13.0,"[0, 6, 0, 7]",0.0014877340057023458,1355.0,1371.0,5.1491934959,,
401628374,2024,5,regular,2024-09-28T23:30:00.000Z,False,True,False,True,,3657,Bryant-Denny Stadium,333,Alabama,SEC,fbs,41.0,"[21, 9, 3, 8]",0.932477756510748,2046,2056.0,61,Georgia,SEC,fbs,34.0,"[0, 7, 8, 19]",0.06752224348925195,2046.0,2036.0,5.7366653406,,
401628376,2024,5,regular,2024-09-28T23:45:00.000Z,False,True,False,False,,3958,Tiger Stadium (LA),99,LSU,SEC,fbs,42.0,"[21, 14, 0, 7]",0.9880716871609392,1805,1874.0,6,South Alabama,Sun Belt,fbs,10.0,"[0, 3, 7, 0]",0.011928312839060817,1657.0,1588.0,2.0744288057,,
401628383,2024,6,regular,2024-10-05T16:00:00.000Z,False,True,False,True,,3795,Kyle Field,245,Texas A&M,SEC,fbs,41.0,"[10, 14, 10, 7]",0.9988618929265699,1683,1781.0,142,Missouri,SEC,fbs,10.0,"[0, 0, 7, 3]",0.0011381070734300947,1790.0,1692.0,2.4205755334,,
401628382,2024,6,regular,2024-10-05T19:30:00.000Z,False,True,False,True,,3994,Williams-Brice Stadium,2579,South Carolina,SEC,fbs,3.0,"[0, 3, 0, 0]",0.04410312984767961,1699,1654.0,145,Ole Miss,SEC,fbs,27.0,"[14, 10, 3, 0]",0.9558968701523204,1861.0,1906.0,2.2922238837,,
401628381,2024,6,regular,2024-10-05T19:30:00.000Z,False,True,False,True,,3917,Sanford Stadium,61,Georgia,SEC,fbs,31.0,"[7, 7, 7, 10]",0.9274264938830571,2036,2033.0,2,Auburn,SEC,fbs,13.0,"[3, 0, 7, 3]",0.07257350611694291,1547.0,1550.0,4.5969947957,,
401628384,2024,6,regular,2024-10-05T20:15:00.000Z,False,True,False,True,,3973,FirstBank Stadium,238,Vanderbilt,SEC,fbs,40.0,"[13, 10, 7, 10]",0.8807790275067171,1317,1359.0,333,Alabama,SEC,fbs,35.0,"[7, 7, 14, 7]",0.1192209724932829,2056.0,2014.0,7.6288286297,,
401628379,2024,6,regular,2024-10-05T23:30:00.000Z,False,True,False,True,,3887,Razorback Stadium,8,Arkansas,SEC,fbs,19.0,"[3, 0, 7, 9]",0.853422504219712,1485,1513.0,2633,Tennessee,SEC,fbs,14.0,"[0, 0, 14, 0]",0.146577495780288,1975.0,1947.0,9.4409572777,,
401628380,2024,6,regular,2024-10-05T23:45:00.000Z,False,True,False,False,,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,24.0,"[7, 17, 0, 0]",0.9065111632798241,1516,1537.0,2116,UCF,Big 12,fbs,13.0,"[3, 0, 3, 7]",0.09348883672017594,1531.0,1510.0,3.6080238557,,
401628389,2024,7,regular,2024-10-12T16:00:00.000Z,False,True,False,False,,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,FBS Independents,fbs,3.0,"[0, 3, 0, 0]",0.0007590125928680845,1070,1025.0,142,Missouri,SEC,fbs,45.0,"[14, 10, 21, 0]",0.999240987407132,1692.0,1737.0,1.6773361622,,
